,Name,Author
146,auslandische-transferbeziehende-sgb-ii-2014-wms-2f49bb4d,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
147,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2001,Amt für Statistik Berlin-Brandenburg
148,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2002,Amt für Statistik Berlin-Brandenburg
149,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2003,Amt für Statistik Berlin-Brandenburg
150,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2004,Amt für Statistik Berlin-Brandenburg
151,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2005,Amt für Statistik Berlin-Brandenburg
152,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2006,Amt für Statistik Berlin-Brandenburg
153,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2007,Amt für Statistik Berlin-Brandenburg
154,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2008,Amt für Statistik Berlin-Brandenburg
155,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2009,Amt für Statistik Berlin-Brandenburg
156,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2010,Amt für Statistik Berlin-Brandenburg
157,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2011,Amt für Statistik Berlin-Brandenburg
158,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2012,Amt für Statistik Berlin-Brandenburg
159,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2013,Amt für Statistik Berlin-Brandenburg
160,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2014,Amt für Statistik Berlin-Brandenburg
161,austauschhaufigkeit-des-bodenwassers-1990-umweltatlas-wms-a9fe2711,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
162,austauschhaufigkeit-des-bodenwassers-2010-umweltatlas-wms-6f159ddc,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
163,austauschhaufigkeit-des-bodenwassers-2015-umweltatlas-wms-8e737cf6,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
164,aus-und-einfuhr-aubenhandel,"Senatsverwaltung für Wirtschaft, Energie und Betriebe"
165,auswahl-geschutzter-festpunkte-von-berlin-wfs-bed18e29,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
166,auswahl-geschutzter-festpunkte-von-berlin-wms-48a0481d,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
167,basensattigung-des-oberbodens-1990-umweltatlas-wms-723a1893,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
168,baugewerbe-im-land-berlin-und-brandenburg,Amt für Statistik Berlin-Brandenburg
169,baugrundkarte-atom-a819de36,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
170,baugrundkarte-spandau-wms-99f6a198,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
171,baugrundkarte-wms-afc48e52,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
172,baumbestand-berlin-anlagenbaume-sachdaten-zur-karte-wfs-98ff39da,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
173,baumbestand-berlin-strassenbaume-sachdaten-zur-karte-wfs-0f682ebc,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
174,baumbestand-berlin-wms-52e6ddaa,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
175,baunutzungsplan-atom-f8bcdd49,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
176,baunutzungsplan-wms-b5bc6cb4,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
177,bebauungsplane-vorhabenbezogene-bebauungsplane-geltungsbereiche-wfs-bfd3b920,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
178,bebauungsplane-vorhabenbezogene-bebauungsplane-geltungsbereiche-wms-277904f0,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
179,bebauungsplane-wfs-472d920b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
180,begrabnisorte-der-opfer-von-krieg-und-gewaltherrschaft-wms-7b6108cc,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
181,behindertenparkplatze-im-bezirk-friedrichshain-kreuzberg, Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung
182,berliner-betriebskostenuebersicht-2013,Senatsverwaltung für Stadtentwicklung und Umwelt
183,berliner-doppelhaushalt-2012-2013,Senatsverwaltung für Finanzen
184,berliner-gebaude-atlas-mitte-in-epsg-25833-wfs-b1409a92,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
185,berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke,"Berliner Wasserbetriebe, Organisationseinheit: Wasserversorgung"
186,berlin-um-1650-atom-6c766bf4,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
187,berlin-um-1650-wms-5da8205a,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
188,berlin-um-1690-atom-6032aa4b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
189,berlin-um-1690-wms-1cba9c37,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
190,berlin-um-1750-atom-bd0453d8,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
191,berlin-um-1750-wms-a5251b51,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
192,berlin-um-1800-atom-437ffd62,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
193,berlin-um-1800-wms-a4181469,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
194,berlin-um-1850-atom-0a176c60,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
195,berlin-um-1850-wms-f71893c1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
196,berlin-um-1880-atom-dfab2984,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
197,berlin-um-1880-wms-c346302e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
198,berlin-um-1900-aisber-wms-72d4c4b2,Landesdenkmalamt Berlin
199,berlin-um-1910-atom-61073dbb,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
200,berlin-um-1910-wms-f668d4cb,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
